Sample,X(ms) [10.09.0265 14:26:39 987 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
0,0.000000,80,71.6832962036133,49.4404602050781
1,0.000000,80,71.6832962036133,49.4404602050781
2,312.221100,80,71.6832962036133,49.4404602050781
3,618.439100,80,71.6832962036133,49.4404602050781
4,918.654200,80,0.477430611848831,100
5,1232.876200,80,0.491898089647293,100
6,1545.102400,80,0.470196813344955,100
7,1857.323900,80,0.491898089647293,100
8,2168.542900,80,0.491898089647293,100
9,2481.768100,80,0.491898089647293,100
10,2834.013700,80,0.488281309604645,100
11,3104.205300,80,0.491898089647293,100
12,3420.430500,80,0.397858798503876,100
13,3776.683600,80,0.488281309604645,100
14,4073.896100,80,0.444878488779068,100
15,4356.095000,80,0.491898089647293,100
16,4711.348300,80,0.434027791023254,100
17,4965.528500,80,0.491898089647293,100
18,5275.749400,80,0.437644690275192,100
19,5587.970900,80,0.491898089647293,100
20,5888.185100,80,0.491898089647293,100
21,6213.416700,80,0.611255824565887,100
22,6515.631900,80,0.491898089647293,100
23,6823.848800,80,2.65480303764343,100
24,7142.075800,80,3.17925310134888,100
25,7436.286200,80,5.28428792953491,100
26,7745.504600,80,5.55193901062012,100
27,8045.718900,80,7.55569982528687,100
28,8373.952100,80,9.85604763031006,100
29,8664.157100,80,10.1200799942017,100
30,8963.375300,80,13.0389204025269,100
31,9276.592300,80,13.2052898406982,100
32,9615.833900,80,15.3067102432251,100
33,9891.032400,80,16.1530704498291,100
34,10202.251500,80,18.493200302124,100
35,10513.473100,80,19.3793392181396,100
36,10826.698700,80,20.9707794189453,100
37,11134.913900,80,22.2186107635498,100
38,11452.139300,80,23.0758094787598,100
39,11769.363900,80,24.3164100646973,100
40,12075.581500,80,25.9042205810547,100
41,12387.804300,80,27.7379894256592,100
42,12726.045900,80,28.8881607055664,100
43,13005.242200,80,29.9768505096436,100
44,13307.460000,80,31.9335899353027,100
45,13618.682900,80,32.8342018127441,100
46,13931.902100,80,34.4328689575195,100
47,14291.157800,80,35.5504913330078,100
48,14557.348700,80,36.161750793457,100
49,14856.558800,80,37.3842582702637,100
50,15171.782400,80,37.8942413330078,100
51,15469.993900,80,39.3771705627441,100
52,15785.218300,80,40.223518371582,100
53,16092.439700,80,40.6105308532715,100
54,16402.659700,80,41.8294296264648,100
55,16701.869800,80,42.0934600830078,100
56,16998.080300,80,43.2906494140625,100
57,17309.301500,80,43.3268203735352,100
58,17671.558900,80,44.1912612915039,100
59,17979.779300,80,45.2835693359375,100
60,18281.995700,80,45.4246215820313,100
61,18595.217900,80,46.7773399353027,100
62,18857.401700,80,47.0269088745117,100
63,19154.614200,80,47.0847816467285,100
64,19453.826800,80,48.0215606689453,100
65,19764.046000,80,49.3778915405273,100
66,20099.285100,80,50.2387199401855,100
67,20375.481400,80,51.312931060791,100
68,20683.705200,80,52.2207794189453,100
69,20980.911300,80,52.9550094604492,100
70,21337.164900,80,54.5609092712402,100
71,21591.343800,80,54.5609092712402,100
72,21903.570000,80,55.9172401428223,100
73,22223.794600,80,58.10546875,100
74,22515.001100,80,57.6461181640625,100
75,22826.221800,80,59.5630798339844,100
76,23137.446900,80,59.7439193725586,100
77,23462.674600,80,61.6536407470703,100
78,23763.889900,80,62.6663818359375,100
79,24058.098600,80,62.4674491882324,100
80,24418.354200,80,64.16015625,100
81,24713.566100,80,63.2016792297363,100
82,24994.766800,80,65.5490417480469,100
83,25347.014200,80,66.1386032104492,100
84,25620.207900,80,66.4098663330078,100
85,25931.429100,80,68.1821365356445,100
86,26244.652500,80,68.0193862915039,100
87,26570.884000,80,68.26171875,100
88,26859.088800,80,69.502311706543,100
89,27168.309800,80,70.2401580810547,100
90,27482.532700,80,70.9779968261719,100
91,27801.761300,80,71.4228897094727,100
92,28096.967200,80,71.8424530029297,100
93,28418.196800,80,72.9419937133789,100
94,28751.433200,80,73.5713272094727,100
95,29013.619100,80,74.189811706543,100
96,29327.843700,80,74.8155364990234,100
97,29676.089900,80,75.3002014160156,100
98,29972.301300,80,76.5444107055664,100
99,30264.509000,80,78.016487121582,61.4035911560059
100,30575.730600,80,77.8790512084961,63.9285202026367
101,30926.980600,80,76.9495086669922,100
102,31197.173100,80,78.016487121582,61.493350982666
103,31513.397800,80,78.5156326293945,47.9490585327148
104,31826.619100,80,78.6313629150391,42.4619598388672
105,32109.823000,80,77.8935165405273,65.3760833740234
106,32422.041000,80,78.6096572875977,41.2949104309082
107,32734.267600,80,77.7669219970703,69.3261413574219
108,33031.476300,80,77.2858810424805,86.0906524658203
109,33359.708200,80,77.6439514160156,73.0627517700195
110,33648.915100,80,78.1394729614258,57.7679595947266
111,33950.134300,80,78.5047836303711,45.7160491943359
112,34297.375500,80,77.6439514160156,73.1524963378906
113,34591.586300,80,77.275016784668,85.3053894042969
114,34887.797200,80,77.6439514160156,73.0739669799805
115,35198.017300,80,77.8935165405273,65.4097366333008
116,35498.228100,80,78.3854064941406,50.092529296875
117,35806.450900,80,78.0128784179688,61.6728897094727
118,36117.669600,80,78.2769088745117,51.1137084960938
119,36420.885500,80,77.7705535888672,70.7958297729492
120,36737.108500,80,79.0653915405273,28.9401302337646
121,37044.328100,80,78.3781814575195,48.4205703735352
122,37336.535400,80,78.6313629150391,42.4507484436035
123,37638.756600,80,77.3980026245117,81.1084671020508
124,37986.996400,80,77.9622268676758,62.9972610473633
125,38265.194900,80,78.9170989990234,33.5184707641602
126,38559.404900,80,78.3673324584961,48.4093208312988
127,38858.616700,80,78.6313629150391,42.4507484436035
