Sample,X(ms) [10.09.0265 14:29:51 416 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
0,0.000000,80,0.488281309604645,100
1,0.000000,80,0.488281309604645,100
2,307.217900,80,0.491898089647293,100
3,638.452400,80,0.46296301484108,100
4,916.650500,80,0.481047511100769,100
5,1208.858600,80,0.484664410352707,100
6,1519.078300,80,0.491898089647293,100
7,1841.310700,80,0.444878488779068,100
8,2126.510400,80,0.491898089647293,100
9,2453.747200,80,0.484664410352707,100
10,2751.956600,80,0.491898089647293,100
11,3057.172200,80,0.484664410352707,100
12,3367.391800,80,0.491898089647293,100
13,3674.611400,80,0.491898089647293,100
14,3990.837500,80,0.73061341047287,100
15,4293.049200,80,1.47931098937988,100
16,4622.283200,80,3.1937210559845,100
17,4914.494300,80,4.31857585906982,100
18,5226.713200,80,5.67491292953491,100
19,5519.922400,80,7.74739599227905,100
20,5878.177500,80,8.32971668243408,100
21,6156.373500,80,10.4745397567749,100
22,6439.575200,80,12.8182897567749,100
23,6738.787400,80,12.8363704681396,100
24,7085.033900,80,14.4422702789307,100
25,7366.235900,80,16.399019241333,100
26,7664.447000,80,17.6504592895508,100
27,7972.666400,80,19.495080947876,100
28,8324.916300,80,20.3667507171631,100
29,8606.115300,80,21.9726600646973,100
30,8914.334400,80,23.444730758667,100
31,9207.543200,80,23.9764194488525,100
32,9508.756000,80,26.2731494903564,100
33,9845.997300,80,27.2171592712402,100
34,10128.197900,80,28.8917808532715,100
35,10442.419500,80,30.7183208465576,100
36,10755.643400,80,31.6008396148682,100
37,11062.863400,80,32.588249206543,100
38,11366.077600,80,34.0567092895508,100
39,11675.296500,80,35.0549812316895,100
40,12011.535500,80,36.0351600646973,100
41,12296.737800,80,37.1093788146973,100
42,12600.958200,80,38.4874114990234,100
43,12913.175400,80,39.4965286254883,100
44,13247.413400,80,40.2416114807129,100
45,13539.622300,80,41.3447608947754,100
46,13848.841200,80,42.3394088745117,100
47,14144.051500,80,42.3394088745117,100
48,14444.265300,80,43.8078689575195,100
49,14754.488700,80,44.9218788146973,100
50,15085.721100,80,45.6741905212402,100
51,15376.928500,80,47.0269088745117,100
52,15677.141400,80,47.4030609130859,100
53,15990.364000,80,49.2368392944336,100
54,16323.603000,80,49.9927597045898,100
55,16611.804800,80,50.9801788330078,100
56,16923.026900,80,53.0418090820313,100
57,17275.275900,80,54.1919784545898,100
58,17552.472900,80,56.3910598754883,100
59,17849.684200,80,58.5829010009766,100
60,18162.906300,80,59.0060806274414,100
61,18513.157000,80,60.7204895019531,100
62,18789.353700,80,61.5957794189453,100
63,19097.570600,80,63.4295387268066,100
64,19423.802400,80,63.8201713562012,100
65,19709.006800,80,64.9305572509766,100
66,20019.232900,80,66.2579574584961,88.4354934692383
67,20330.447200,80,67.5130233764648,97.8550872802734
68,20630.661000,80,67.8927917480469,100
69,20962.897100,80,69.3721084594727,100
70,21252.103100,80,70.1135711669922,100
71,21557.320400,80,71.6615982055664,82.5443572998047
72,21863.538000,80,72.0883865356445,98.8520431518555
73,22174.757900,80,73.1987762451172,96.1674880981445
74,22474.972600,80,74.5442733764648,91.7346267700195
75,22789.195900,80,75.1772232055664,96.8427886962891
76,23097.419600,80,76.8843994140625,77.9456024169922
77,23414.639100,80,77.900749206543,78.4346237182617
78,23709.849700,80,76.9024887084961,100
79,24018.067500,80,78.6168975830078,76.5593338012695
80,24319.282000,80,79.00390625,81.3076019287109
81,24626.504200,80,79.9913177490234,75.7984619140625
82,24974.750000,80,81.4055328369141,58.0629806518555
83,25263.957200,80,81.9661407470703,56.2516288757324
84,25554.159600,80,81.9589080810547,56.5782585144043
85,25869.383200,80,82.703987121582,46.8672981262207
86,26162.595400,80,81.34765625,72.6974029541016
87,26471.813000,80,82.3169937133789,50.786491394043
88,26789.038900,80,82.03125,58.1973114013672
89,27100.262200,80,82.8305816650391,41.6623191833496
90,27436.497300,80,83.4454574584961,33.9644393920898
91,27726.703600,80,83.8505477905273,28.0875606536865
92,28022.915000,80,83.076530456543,32.1295890808105
93,28331.132700,80,83.1597213745117,26.2017307281494
94,28630.345400,80,82.8305816650391,32.7500801086426
95,28965.584500,80,82.490592956543,36.3284301757813
96,29257.791300,80,81.8576431274414,44.7270812988281
97,29568.012600,80,82.3350677490234,27.4441394805908
98,29893.244200,80,80.7363967895508,51.2787590026855
99,30202.463900,80,80.9751129150391,39.181468963623
100,30492.671000,80,81.2246780395508,32.3643798828125
101,30787.879500,80,81.9589080810547,19.4640808105469
102,31100.101400,80,81.221061706543,31.1030902862549
103,31429.336300,80,80.360237121582,43.01416015625
104,31724.544400,80,80.3457717895508,32.4125595092773
105,32037.771200,80,80.2372665405273,36.0439300537109
106,32349.991400,80,80.6061935424805,30.812219619751
107,32665.212900,80,79.8394088745117,35.7202606201172
108,32988.443900,80,79.618766784668,41.7919006347656
109,33299.665100,80,79.3619766235352,41.1866989135742
110,33599.878400,80,79.4957962036133,40.4264297485352
111,33899.090200,80,79.7417526245117,38.8586692810059
112,34206.313700,80,79.1377334594727,53.5379409790039
113,34519.532400,80,79.618766784668,41.9300308227539
114,34834.756500,80,78.389030456543,63.2019691467285
115,35174.997800,80,79.1268768310547,46.3988990783691
116,35455.196500,80,79.4957962036133,44.3071899414063
117,35755.410700,80,78.6422119140625,62.9015083312988
118,36069.632800,80,79.2498626708984,48.7480506896973
119,36397.867800,80,78.0454330444336,77.0598907470703
120,36691.075300,80,78.3239288330078,62.8464698791504
121,36991.288600,80,78.3854064941406,61.7913017272949
122,37301.510400,80,77.6548004150391,81.0928421020508
123,37647.755600,80,79.00390625,52.9276008605957
124,37913.943900,80,78.5083923339844,65.2318572998047
125,38214.156400,80,78.6313629150391,64.4754333496094
126,38519.375000,80,78.5083923339844,68.0641098022461
127,38852.611900,80,79.00390625,62.1715698242188
128,39141.820000,80,79.1196365356445,60.2218589782715
129,39448.035000,80,78.5083923339844,74.3119277954102
130,39761.257600,80,78.6349792480469,72.3598403930664
131,40085.486800,80,78.6639175415039,72.2997512817383
132,40377.694900,80,79.6730270385742,56.5210113525391
133,40691.918600,80,79.9768524169922,54.4150009155273
134,41040.165700,80,79.3728332519531,70.792350769043
135,41330.371900,80,79.6151580810547,65.3665466308594
136,41626.582900,80,79.7381362915039,64.5143737792969
137,41967.827100,80,79.9913177490234,62.205078125
138,42240.018800,80,79.6477127075195,71.2934188842773
139,42557.243400,80,79.9949264526367,66.6551513671875
140,42869.465700,80,80.1143035888672,63.9535903930664
141,43208.711100,80,79.9913177490234,65.8515167236328
142,43496.912900,80,80.360237121582,59.7587089538574
143,43787.118300,80,79.9913177490234,70.9726028442383
144,44099.338900,80,79.6260070800781,75.4166793823242
145,44413.564800,80,79.9949264526367,64.3808517456055
146,44744.801100,80,81.2102127075195,43.3556213378906
