Sample,X(ms) [10.09.0265 14:17:12 751 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
0,0.000000,80,72.0594635009766,56.2263107299805
1,0.000000,80,72.0594635009766,56.2263107299805
2,316.224400,80,72.0594635009766,56.2263107299805
3,730.517500,80,72.0594635009766,56.2263107299805
4,950.674000,80,72.0594635009766,56.2263107299805
5,1263.897000,80,72.0594635009766,56.2263107299805
6,1589.128100,80,72.0594635009766,56.2263107299805
7,1880.335900,80,0.46296301484108,100
8,2201.562100,80,0.481047511100769,100
9,2494.771800,80,0.477430611848831,100
10,2807.995200,80,0.46296301484108,100
11,3123.218800,80,0.394241899251938,100
12,3422.429700,80,0.383391201496124,100
13,3739.656900,80,0.46296301484108,100
14,4065.889600,80,0.372540503740311,100
15,4422.147500,80,0.372540503740311,100
16,4656.307900,80,0.430410891771317,100
17,4964.527800,80,0.46296301484108,100
18,5265.741500,80,0.408709496259689,100
19,5575.964900,80,0.466579914093018,100
20,5894.186400,80,0.376157402992249,100
21,6199.406700,80,0.58232057094574,100
22,6512.630600,80,1.3563369512558,100
23,6855.872800,80,2.96223998069763,100
24,7137.072200,80,4.53920698165894,100
25,7438.288000,80,5.32769107818604,100
26,7746.504900,80,6.78891801834106,100
27,8072.735900,80,8.18504047393799,100
28,8372.949700,80,9.50520801544189,100
29,8673.163900,80,11.3715295791626,100
30,8985.383200,80,12.6410598754883,100
31,9318.620500,80,13.4548597335815,100
32,9598.820100,80,15.6033000946045,100
33,9904.038300,80,16.9053802490234,100
34,10215.258200,80,18.8078708648682,100
35,10566.509900,80,19.2563591003418,100
36,10853.715700,80,21.1082191467285,100
37,11139.917400,80,22.6453990936279,100
38,11449.134200,80,23.9474792480469,100
39,11749.347600,80,24.3164100646973,100
40,12066.573000,80,26.1537895202637,100
41,12368.788200,80,27.1556701660156,100
42,12671.002600,80,28.9713497161865,100
43,12983.226200,80,30.1179103851318,100
44,13321.465700,80,31.8250904083252,100
45,13608.671100,80,33.192268371582,100
46,13909.883900,80,34.194149017334,100
47,14219.103200,80,35.5830383300781,100
48,14574.356100,80,36.2919502258301,100
49,14857.559100,80,37.7712707519531,100
50,15150.769200,80,38.8671913146973,100
