Sample,X(ms) [10.09.0265 14:13:29 486 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
0,0.000000,80,31.7238101959229,58.6030082702637
1,0.997300,80,31.7238101959229,58.6030082702637
2,332.231400,80,0.46296301484108,100
3,631.441000,80,0.488281309604645,100
4,937.661700,80,0.372540503740311,100
5,1250.884300,80,0.383391201496124,100
6,1579.114500,80,0.383391201496124,100
7,1877.328200,80,0.401475697755814,100
8,2219.570100,80,0.379774302244186,100
9,2482.756700,80,0.368923604488373,100
10,2791.978200,80,0.383391201496124,100
11,3122.212500,80,0.376157402992249,100
12,3408.416700,80,0.430410891771317,100
13,3716.634500,80,0.368923604488373,100
14,4031.858100,80,0.368923604488373,100
15,4339.076900,80,0.376157402992249,100
16,4642.292300,80,0.434027791023254,100
17,4991.541400,80,0.390625,100
18,5273.741100,80,1.41782402992249,100
19,5579.958700,80,2.93692088127136,100
20,5876.170100,80,4.07262706756592,100
21,6174.382500,80,4.07262706756592,100
22,6498.611600,80,5.67491292953491,100
23,6799.827400,80,7.32060194015503,100
24,7107.047000,80,7.89930486679077,100
25,7407.258200,80,8.51417827606201,100
26,7715.477300,80,10.0730600357056,100
27,8028.698200,80,11.1074895858765,100
28,8350.927600,80,11.6608800888062,100
29,8655.143400,80,13.0208301544189,100
30,8969.370500,80,13.8237800598145,100
31,9277.587400,80,15.2416095733643,100
32,9590.811300,80,16.0445594787598,100
33,9894.023800,80,16.3953990936279,100
34,10199.242400,80,17.6504592895508,100
35,10529.475800,80,19.1333904266357,100
36,10819.683400,80,20.3233509063721,100
37,11108.888500,80,21.2311897277832,100
38,11418.108700,80,21.7122402191162,100
39,11764.355200,80,22.5875301361084,100
40,12043.552300,80,22.9600696563721,100
41,12354.774300,80,24.5804405212402,100
42,12655.988000,80,24.9348907470703,100
43,12983.219700,80,26.4142093658447,100
44,13290.439700,80,27.8790493011475,100
45,13589.651500,80,28.2660598754883,100
46,13889.863600,80,29.7128200531006,100
47,14198.084300,80,31.2789306640625,100
48,14537.324200,80,31.5465908050537,100
49,14815.521400,80,32.6533508300781,100
50,15107.730000,80,33.2031288146973,100
51,15416.951000,80,33.818000793457,100
52,15751.188500,80,35.5143203735352,100
53,16033.392100,80,35.5830383300781,100
54,16341.608600,80,36.2159996032715,100
55,16650.826200,80,36.9068298339844,100
56,16982.065000,80,37.6482887268066,100
57,17267.264300,80,38.3752899169922,100
58,17574.482600,80,39.0082511901855,100
59,17893.709100,80,39.3373794555664,100
60,18224.947500,80,40.1186294555664,100
61,18514.150000,80,40.8600997924805,100
62,18811.361200,80,41.5545387268066,100
63,19123.583100,80,41.9704895019531,100
64,19456.823800,80,42.6540794372559,100
65,19734.018600,80,43.0808715820313,100
66,20041.235700,80,43.822338104248,100
67,20342.452300,80,44.1225395202637,100
68,20655.674100,80,44.8097496032715,100
69,20964.893400,80,45.6741905212402,100
70,21269.107900,80,46.7267112731934,100
71,21576.331400,80,47.2764701843262,100
72,21908.568300,80,48.2204895019531,100
73,22209.779000,80,48.994499206543,100
74,22513.993000,80,50.4774284362793,100
75,22813.205300,80,52.1484413146973,100
76,23193.476800,80,52.5860786437988,100
77,23421.641900,80,54.481330871582,100
78,23758.880800,80,55.2408790588379,100
79,24066.097000,80,56.8829612731934,100
80,24365.309200,80,57.4001693725586,100
81,24641.508900,80,58.7565116882324,100
82,24949.726200,80,60.7530403137207,100
83,25267.951900,80,61.1038818359375,100
84,25573.168400,80,62.250431060791,100
85,25885.391600,80,62.9557304382324,100
86,26187.604700,80,64.1890869140625,100
87,26522.843800,80,64.2903671264648,100
88,26804.043600,80,65.176513671875,100
89,27104.259500,80,66.6594314575195,94.4635009765625
90,27439.494800,80,66.8728332519531,92.9524765014648
91,27728.698600,80,67.8927917480469,85.7301788330078
