Sample,X(ms) [03.09.0265 14:27:18 095 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
0,0.000000,80,79.1594314575195,100
1,0.000000,80,79.1594314575195,100
2,312.524400,80,79.1594314575195,100
3,625.009800,80,79.1594314575195,100
4,937.531700,80,79.1594314575195,100
5,1250.037200,80,79.1594314575195,100
6,1562.520500,80,79.1594314575195,100
7,1875.044900,80,79.1594314575195,100
8,2187.531200,80,79.1594314575195,100
9,2500.033800,80,79.1594314575195,100
10,2812.557300,80,79.1594314575195,100
11,3125.062000,80,79.1594314575195,100
12,3453.173100,80,0.466579914093018,100
13,3750.070600,80,0.372540503740311,100
14,4064.950000,80,0.481047511100769,100
15,4377.453000,80,0.430410891771317,100
16,4689.939800,80,0.394241899251938,100
17,4995.489100,80,0.484664410352707,100
18,5307.994700,80,0.484664410352707,100
19,5620.498500,80,0.397858798503876,100
20,5948.628000,80,0.372540503740311,100
21,6245.505400,80,0.368923604488373,100
22,6558.029700,80,0.372540503740311,100
23,6870.523800,80,0.444878488779068,100
24,7171.687900,80,0.383391201496124,100
25,7484.174200,80,0.430410891771317,100
26,7796.676400,80,0.466579914093018,100
27,8109.180600,80,0.614872694015503,100
28,8421.686200,80,1.98929405212402,100
29,8734.191800,80,3.08521389961243,100
30,9046.717400,80,4.22453689575195,100
31,9374.844300,80,6.00043392181396,100
32,9671.721700,80,7.03486680984497,100
33,9984.226400,80,8.53226280212402,100
34,10296.732400,80,9.87774753570557,100
35,10609.234500,80,11.461950302124,100
36,10923.071800,80,12.8363704681396,100
37,11235.576100,80,13.7767601013184,100
38,11548.059800,80,15.9215898513794,100
39,11854.695000,80,18.0193901062012,100
40,12167.199300,80,19.3323192596436,100
41,12479.705200,80,20.612699508667,100
42,12792.227900,80,21.4301204681396,100
43,13120.338100,80,22.8370990753174,100
44,13417.218900,80,23.8859996795654,100
45,13729.742400,80,25.5497703552246,100
46,14031.959100,80,26.5082492828369,100
47,14344.443700,80,28.3311595916748,100
48,14656.950100,80,29.694730758667,100
49,14969.452200,80,31.1668090820313,100
50,15281.976200,80,32.8305892944336,100
51,15594.481700,80,33.9843788146973,100
52,15906.966800,80,34.9609413146973,100
53,16219.489400,80,35.673469543457,100
54,16531.994100,80,37.3553199768066,100
55,16860.123200,80,38.5127296447754,100
56,17172.607400,80,39.037181854248,100
57,17469.506100,80,39.1312217712402,100
58,17781.992000,80,40.2416114807129,100
59,18095.303700,80,41.2434883117676,100
60,18407.808400,80,42.2164306640625,100
61,18720.311800,80,42.9398193359375,100
62,19026.892600,80,43.974250793457,100
63,19339.397300,80,44.5601806640625,100
64,19651.902000,80,45.3920707702637,100
65,19964.407200,80,46.538631439209,100
66,20276.914000,80,47.2800903320313,100
67,20605.042700,80,48.9908790588379,100
68,20901.918700,80,49.6600112915039,100
69,21203.361300,80,51.7505798339844,100
70,21515.865100,80,53.3239288330078,100
71,21828.370700,80,54.8068618774414,100
72,22140.875800,80,57.2771987915039,100
73,22453.378400,80,57.6461181640625,100
74,22765.902300,80,60.1779518127441,100
75,23078.405300,80,60.731330871582,100
76,23406.516000,80,62.3372383117676,100
77,23703.414700,80,64.0661163330078,100
78,24015.900200,80,64.3301467895508,100
79,24328.423700,80,65.176513671875,100
80,24640.928000,80,66.3013610839844,100
81,24970.509400,80,67.7698211669922,100
82,25267.386700,80,68.5149002075195,100
83,25579.910700,80,69.7120971679688,100
84,25886.455200,80,70.3667526245117,100
85,26198.960700,80,71.3360824584961,100
86,26511.464100,80,72.94921875,93.3247909545898
87,26823.949200,80,73.9872665405273,69.5439071655273
88,27136.472300,80,74.0668411254883,100
89,27448.958600,80,74.9131927490234,100
90,27761.462900,80,75.1482925415039,100
91,28063.627700,80,75.3002014160156,100
92,28376.150400,80,76.9350433349609,100
93,28688.654700,80,77.3365173339844,100
94,29001.158500,80,77.275016784668,100
95,29313.645700,80,77.7994766235352,100
96,29626.149100,80,78.1394729614258,100
97,29938.651700,80,78.4939193725586,81.5151977539063
98,30251.157700,80,80.732780456543,0
99,30563.679900,80,79.8574905395508,92.0403289794922
100,30876.164100,80,80.732780456543,12.7739696502686
101,31188.688500,80,79.9913177490234,100
102,31501.174800,80,80.5483169555664,0.068455196917057
103,31829.634800,80,81.34765625,7.20954608917236
104,32142.159200,80,81.34765625,4.35165405273438
105,32454.643800,80,81.5936126708984,0
106,32767.167300,80,80.9642562866211,100
107,33073.672500,80,81.7346572875977,65.5759201049805
108,33386.176800,80,82.3350677490234,0
109,33698.681900,80,81.7201919555664,41.9970397949219
110,34011.185700,80,83.076530456543,0
111,34323.671600,80,82.0927429199219,100
112,34636.175900,80,82.4580535888672,0
113,34954.012200,80,82.490592956543,0
114,35282.139500,80,81.0727691650391,88.0349273681641
115,35579.020300,80,81.8431701660156,0
116,35891.542500,80,81.2716979980469,71.6399917602539
117,36219.654900,80,81.7201919555664,0
118,36532.156600,80,80.8087387084961,87.9003982543945
119,36829.055800,80,80.2372665405273,96.3042907714844
120,37141.540800,80,81.3151016235352,0
121,37454.064800,80,80.9787292480469,96.2615432739258
122,37766.550700,80,81.0691528320313,0
123,38094.680200,80,81.4417037963867,0
124,38407.202800,80,80.6061935424805,100
125,38704.081500,80,80.9932022094727,0
