Sample,X(ms) [03.09.0265 13:31:19 935 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
0,0.000000,80,0.491898089647293,100
1,0.000000,80,0.491898089647293,100
2,344.063900,80,0.491898089647293,100
3,625.319000,80,0.491898089647293,100
4,937.824100,80,0.491898089647293,100
5,1250.389600,80,0.491898089647293,100
6,1562.894300,80,0.491898089647293,100
7,1875.380200,80,0.491898089647293,100
8,2187.882300,80,0.491898089647293,100
9,2500.387000,80,0.491898089647293,100
10,2812.910500,80,0.491898089647293,100
11,3141.022500,80,0.491898089647293,100
12,3437.920400,80,0.444878488779068,100
13,3750.423800,80,0.491898089647293,100
14,4062.908400,80,0.491898089647293,100
15,4375.431900,80,0.491898089647293,100
16,4687.937000,80,0.737847208976746,100
17,5000.423400,80,1.47931098937988,100
18,5311.580100,80,3.20095491409302,100
19,5624.066000,80,4.56452608108521,100
20,5936.570300,80,5.85575819015503,100
21,6249.075000,80,8.14163780212402,100
22,6561.577500,80,8.76374435424805,100
23,6874.081400,80,11.089409828186,100
24,7186.585700,80,12.1708602905273,100
25,7499.110500,80,13.5778398513794,100
26,7811.613900,80,15.6611700057983,100
27,8124.099800,80,17.400899887085,100
28,8436.622900,80,19.2491302490234,100
29,8749.126700,80,20.4897308349609,100
30,9061.613500,80,21.5965003967285,100
31,9374.981200,80,22.3415794372559,100
32,9687.503800,80,24.1898097991943,100
33,10000.008500,80,25.0578708648682,100
34,10312.494400,80,26.605899810791,100
35,10624.997400,80,28.3239307403564,100
36,10937.503400,80,28.9822006225586,100
37,11250.005500,80,30.9787292480469,100
38,11562.511500,80,32.0782699584961,100
39,11875.033800,80,33.7565116882324,100
40,12187.520100,80,34.4401092529297,100
41,12500.041900,80,36.1219596862793,100
42,12812.526500,80,37.6446800231934,100
43,13124.640300,80,38.5127296447754,100
44,13437.145000,80,39.2541999816895,100
45,13765.293800,80,39.9631118774414,100
46,14062.154900,80,41.3483810424805,100
47,14374.659100,80,41.8764495849609,100
48,14687.163400,80,43.0808715820313,100
49,14999.667700,80,44.0682907104492,100
50,15312.172000,80,44.6867790222168,100
51,15624.675000,80,46.0250282287598,100
52,15952.807900,80,46.4120407104492,100
53,16249.684800,80,47.7756118774414,100
54,16562.189100,80,48.7593994140625,100
55,16874.693400,80,49.6238403320313,100
56,17187.215600,80,50.2278594970703,100
57,17499.720700,80,51.9675903320313,100
58,17827.850200,80,54.0617790222168,100
59,18124.708700,80,54.3149604797363,100
60,18437.232700,80,56.043830871582,100
61,18749.719400,80,56.781681060791,100
62,19062.221600,80,58.3839683532715,100
63,19374.728800,80,59.375,100
64,19702.858300,80,61.1038818359375,100
65,19999.754500,80,62.7097816467285,100
66,20312.238700,80,63.7586784362793,100
67,20624.745100,80,65.176513671875,100
68,20937.247200,80,66.6594314575195,100
69,21249.752800,80,67.646842956543,100
70,21562.256200,80,68.8802108764648,100
71,21891.280400,80,69.6216735839844,100
72,22179.059800,80,70.9779968261719,100
73,22491.563600,80,71.4699096679688,100
74,22804.068300,80,72.2149887084961,100
75,23116.590600,80,74.4285278320313,73.6873016357422
76,23429.095300,80,74.6817092895508,100
77,23741.580300,80,75.5425262451172,86.1022567749023
78,24044.411100,80,75.1772232055664,100
79,24356.901200,80,76.895263671875,54.4659194946289
80,24669.405500,80,78.5083923339844,85.3581619262695
81,24981.928600,80,78.1394729614258,100
82,25294.412300,80,79.1232604980469,63.0905494689941
83,25606.916200,80,78.3854064941406,100
84,25919.422200,80,80.4723663330078,2.19606709480286
85,26231.925200,80,81.4850997924805,79.405029296875
86,26544.429900,80,80.3927917480469,100
87,26856.953400,80,81.7129592895508,37.3163604736328
88,27163.946900,80,81.9661407470703,74.8239974975586
89,27476.431500,80,82.9318466186523,16.3649406433105
90,27788.936200,80,81.9118881225586,71.9186172485352
91,28101.458500,80,82.1216735839844,100
92,28413.942600,80,82.3350677490234,64.5011901855469
93,28726.466600,80,82.3350677490234,61.4852600097656
94,29038.971300,80,82.7076110839844,47.6251182556152
95,29351.455000,80,82.7076110839844,54.4817390441895
96,29663.961400,80,82.2771987915039,100
97,29976.464000,80,81.9661407470703,56.6044883728027
98,30288.970000,80,82.3350677490234,51.2682495117188
99,30601.474300,80,83.1922836303711,0.157889395952225
100,30913.996900,80,83.6190567016602,32.8102607727051
101,31226.482000,80,81.8612518310547,75.3369064331055
102,31554.613600,80,81.7201919555664,45.1635208129883
103,31851.491400,80,81.9697570800781,61.4010696411133
104,32163.994000,80,82.0855026245117,17.3710193634033
105,32476.518300,80,80.9497985839844,44.0618591308594
106,32789.004600,80,80.5193862915039,100
107,33101.510200,80,80.732780456543,44.3080406188965
